init_x,init_y,next_x,next_y
0.128502,0.457430,0.634811,0.097647
0.360799,0.159451,0.995051,-0.527259
0.538594,0.905574,-0.316682,0.842128
0.089647,0.046627,0.202321,-0.817291
0.637169,0.207743,1.743873,-0.029660
0.532599,0.982966,0.230757,1.435516
0.799381,0.112534,-1.265215,1.330598
0.072872,0.280178,-1.729320,0.568532
0.526384,0.560858,2.020919,0.568069
0.022717,0.853915,-0.161758,1.179976
0.840888,0.167414,0.205936,0.325946
0.816317,0.728458,0.034062,-0.459871
0.625351,0.457403,-0.389733,0.433494
0.177967,0.187772,1.203140,-0.325639
0.321934,0.193768,-1.682045,0.924880
0.789682,0.932912,-0.089698,1.671050
0.318444,0.304879,-1.479293,2.103271
0.403154,0.148736,-0.348709,-0.802355
0.970389,0.783237,0.181917,0.419615
0.533070,0.299135,-0.625052,-0.251437
0.585702,0.762536,0.126474,-0.823318
0.290825,0.198899,-0.563905,0.275757
0.734327,0.700629,-0.766690,0.204603
0.082851,0.430772,0.300637,1.058431
0.940430,0.509709,0.961045,-0.598650
0.491515,0.798637,1.942533,0.613578
0.990827,0.832099,0.865747,-0.469641
0.855562,0.629985,-0.678999,1.610001
0.386170,0.051765,1.128538,0.597561
0.123169,0.958034,0.205372,-0.082910
0.482026,0.775671,0.357912,-0.524747
0.284502,0.339865,1.771031,0.138226
0.410541,0.431690,-0.187245,-2.014282
0.556633,0.769335,0.546533,1.544976
0.073706,0.530954,0.142233,2.008140
0.010748,0.688241,1.517007,-0.124456
0.050476,0.508922,0.898648,2.544195
0.906517,0.513574,0.378081,1.832742
0.203674,0.324624,-0.280103,0.097718
0.292410,0.144093,-1.127148,0.188251
0.822422,0.900531,-0.988409,1.262413
0.906406,0.827756,0.521428,1.930150
0.575750,0.072360,-1.220772,-0.018514
0.966158,0.758934,-0.628954,0.474781
0.051635,0.694107,1.010113,0.480144
0.022155,0.739616,1.083169,1.186738
0.440970,0.287339,0.827391,1.316782
0.121467,0.850818,0.163483,-0.221927
0.602248,0.919035,0.908817,-0.024849
0.073382,0.427069,1.316770,0.480030
0.320738,0.198956,-0.773695,0.642858
0.736708,0.372510,0.109845,-0.019531
0.635626,0.767383,0.085753,1.292223
0.943565,0.608491,-0.008134,1.594091
0.172110,0.414531,0.451025,-0.579690
0.802131,0.486042,0.627488,0.347356
0.893825,0.230149,-0.527653,-1.076400
0.933737,0.502701,1.787808,0.626107
0.801838,0.290500,1.506771,2.026665
0.966927,0.565155,0.634149,1.068072
0.542864,0.334954,-0.363968,-0.999327
0.550064,0.760240,1.477893,0.329234
0.819985,0.987561,0.206724,-0.150690
0.807918,0.548337,-1.539404,0.071159
0.487818,0.276384,-1.280847,-0.666708
0.007148,0.137199,-0.570655,1.894181
0.678320,0.961919,1.580710,1.759608
0.230058,0.980211,0.965549,0.578255
0.154092,0.593827,1.301572,1.521130
0.679786,0.291265,2.004289,-0.111426
0.681873,0.788100,0.006407,0.556377
0.430267,0.953364,0.426569,1.270741
0.044157,0.335006,0.420514,-0.300627
0.498278,0.223739,0.552821,-1.269035
0.711852,0.220259,1.477021,-0.280125
0.462092,0.927596,1.812855,0.265737
0.998849,0.195733,1.264482,-0.728698
0.585485,0.344533,-0.537761,-0.356488
0.707170,0.065706,1.321208,0.097340
0.886840,0.988750,1.660828,2.937058
0.738868,0.087879,-0.697018,0.475982
0.081628,0.188252,1.049401,0.626466
0.290448,0.739322,-1.277467,0.162431
0.350625,0.153115,-1.269426,0.753756
