init_x,init_y,next_x,next_y
0.043467,0.733585,0.635344,0.987223
0.833000,0.594287,-0.274793,0.843069
0.421336,0.047538,0.376739,0.626703
0.007398,0.713235,-1.344652,-0.950149
0.040284,0.784280,1.781809,0.009773
0.073045,0.749364,0.691982,1.914028
0.160766,0.718636,-0.125337,-0.768397
0.289451,0.388596,-1.119958,0.358086
0.356666,0.900598,0.698344,-0.256161
0.968960,0.336249,0.771971,-0.207941
0.468779,0.066271,0.504594,1.217888
0.041362,0.405577,1.876896,1.192196
0.193416,0.914086,-1.039159,1.548950
0.551968,0.122281,0.144009,0.188699
0.577130,0.983206,0.112172,0.469435
0.001941,0.598351,-0.482022,-0.784148
0.018742,0.913958,-1.833971,1.477264
0.509846,0.960411,1.900941,0.526422
0.832933,0.492484,-0.373591,1.166383
0.110785,0.519492,0.173322,-0.868814
0.764235,0.352039,0.851002,2.088654
0.149379,0.666812,1.216516,-0.260729
0.128991,0.952032,-0.704118,1.094165
0.143375,0.291874,-0.207494,0.845800
0.316764,0.119938,0.129023,0.169359
0.131024,0.822765,1.275903,0.455196
0.228286,0.361948,1.431963,0.627098
0.902563,0.959910,1.242974,0.273438
0.341429,0.329824,-0.191430,1.123920
0.744405,0.193479,-0.969162,-0.273510
0.852124,0.853579,1.061616,0.255217
0.306378,0.844030,-0.337786,-0.511327
0.502382,0.426107,0.136157,0.413006
0.232175,0.549741,0.112952,-0.105640
0.043756,0.998837,0.049917,-0.245997
0.876683,0.760424,0.155834,0.138588
0.991419,0.260147,1.436798,-0.408266
0.364554,0.813648,-0.073305,0.972787
0.729513,0.808690,0.365751,1.048916
0.369704,0.826782,1.293133,-0.156240
0.680354,0.510675,-0.182147,0.684406
0.786831,0.127995,2.458120,-0.681534
0.928904,0.043008,-0.230930,0.779581
0.172559,0.649989,0.396645,-2.071362
0.836379,0.001985,1.395422,-0.554661
0.560791,0.248267,0.706676,0.121945
0.809924,0.874359,0.445871,0.392115
0.771940,0.813088,1.603358,1.650721
0.362273,0.890011,0.005099,1.885852
0.429629,0.109651,1.635119,0.069177
0.167984,0.913383,-0.728637,2.391448
0.564617,0.839967,2.715856,-0.108887
0.483724,0.404610,0.004589,0.610926
0.851350,0.994214,-0.707350,1.116033
0.345597,0.405458,-0.219520,-0.713921
0.165130,0.048840,0.391312,-1.062440
0.362585,0.231697,-1.007937,0.155532
0.651194,0.296375,-0.298815,1.315443
0.138319,0.114594,1.435321,1.243350
0.682457,0.872750,0.154485,1.185036
0.074504,0.715477,-1.546934,-0.943143
0.466622,0.544553,-0.520252,-0.250123
0.864133,0.338501,1.372499,0.517596
0.426635,0.692898,1.628998,-0.439801
0.141285,0.157149,1.003991,0.169037
0.082787,0.584473,-1.064434,-0.050160
0.557003,0.859985,0.803518,2.206815
0.167286,0.089506,1.138671,-0.941737
0.619258,0.409783,0.080442,0.304432
0.942883,0.223355,1.193900,0.201318
0.533297,0.119562,-0.638331,0.166429
0.172545,0.569064,-0.033743,2.459893
0.228469,0.172882,-0.378090,-0.560700
0.466373,0.698617,-1.334785,-1.118154
0.912039,0.957081,0.637412,2.485489
0.525720,0.714582,-0.892759,-0.406036
0.732616,0.462810,-0.653102,1.257603
0.618401,0.741889,0.776469,1.346274
0.637074,0.531883,0.003887,1.430187
0.876049,0.403539,0.896739,-0.528007
0.913735,0.514580,2.101614,-1.015399
0.888573,0.113008,0.520554,0.154280
0.381734,0.598433,-0.958582,3.176490
0.163481,0.682803,-1.299255,1.238766
0.805351,0.295486,0.024431,-0.613801
0.877796,0.358549,2.245979,-0.488496
0.888290,0.301530,1.170422,-0.998556
0.409938,0.023465,0.004705,-0.988283
0.717669,0.062159,1.692316,-1.579436
0.427334,0.001182,-0.119115,0.245033
0.583193,0.319601,-0.241268,-0.041809
0.656951,0.029204,1.579941,1.101863
0.445295,0.276060,0.031816,-0.405907
0.286063,0.460502,0.688558,1.101032
0.604859,0.349099,0.906203,0.390172
0.614213,0.640567,-1.026905,0.893112
0.026684,0.053627,0.064567,1.973253
0.513837,0.557024,1.885453,1.399655
0.629538,0.183951,-0.920694,-0.430389
0.848807,0.922072,-1.010421,-0.312840
0.023365,0.915830,0.161753,0.303863
0.420795,0.154113,2.053305,-1.566975
0.255577,0.630845,0.127954,1.030240
0.807099,0.063078,0.955533,-0.293985
0.773164,0.772007,1.068168,1.850258
0.626843,0.044502,-0.885648,-1.724404
0.909795,0.926624,1.930411,1.084674
0.265976,0.216352,1.076920,0.406160
0.494069,0.148565,-0.117427,-0.623961
0.385763,0.043870,0.396699,0.964047
0.690441,0.674626,2.566371,1.586577
0.466391,0.601910,-1.048214,1.244121
0.762512,0.038168,1.127688,-1.760956
0.917154,0.348989,2.209783,2.392737
0.875179,0.090079,-0.063490,1.448207
0.879335,0.177402,1.077444,1.028050
0.394467,0.607908,-1.152352,0.122139
0.398359,0.441714,-1.315278,-0.086471
0.185237,0.290397,0.801183,-0.283461
0.081860,0.887260,0.514188,0.983443
0.338985,0.064806,-0.918885,1.041381
0.181552,0.999122,1.931835,1.157974
0.821491,0.312686,1.056546,0.588199
0.767478,0.290900,0.053553,1.309585
0.828880,0.412080,0.898062,1.106934
0.666567,0.363000,0.744632,1.787478
0.450077,0.791258,0.443962,0.564501
0.355701,0.963572,-0.576155,0.923977
0.114912,0.619406,-1.470223,-0.511894
0.524681,0.028837,-1.010759,-0.954113
0.223327,0.029421,2.158108,-0.828693
0.652413,0.871625,0.615939,0.232848
0.433287,0.417102,-0.338458,-1.322869
0.146444,0.284894,-0.603423,-1.134580
0.091014,0.383366,-1.110502,-0.456517
0.735755,0.299893,-0.502587,-0.332325
0.513066,0.899286,-0.490851,1.549274
0.167010,0.457233,0.380474,-0.140732
0.704245,0.218448,1.240424,-1.471893
0.616158,0.544164,0.725341,-1.670854
