init_x,init_y,next_x,next_y
1.372506,1.468882,0.989486,0.167104
1.102356,0.927092,1.580852,1.348726
0.177712,0.476761,1.127219,-0.407683
0.886136,1.498292,-0.474467,-1.355855
1.646036,0.373467,0.485023,0.074290
0.159286,1.782640,2.326815,-0.352033
1.583838,0.179268,-0.476926,0.109824
0.723898,1.427293,1.651773,0.622853
1.179404,1.135219,1.540841,-0.866451
1.573578,1.595824,1.781469,1.535572
1.555785,0.033817,1.500581,-0.216272
0.717393,0.585277,-1.479998,0.121178
1.987992,0.094606,1.262055,-0.659688
1.686554,0.354416,0.591452,0.275136
0.659475,0.475518,-0.354236,-2.326627
0.678322,0.340484,-0.533342,0.696071
0.623273,1.626619,1.586760,0.308207
1.279213,0.688951,0.530022,-0.454303
1.358281,1.293133,0.704331,-1.253366
0.258498,1.725049,0.450929,1.829060
0.605328,0.816412,1.323437,0.025677
0.872364,1.250383,0.527762,-0.973472
1.574052,1.161728,2.992378,1.122519
0.686595,0.696046,0.888025,-1.206165
1.700459,1.014087,-0.516775,1.087578
1.814113,1.734482,1.677591,1.872629
0.232033,1.512615,-0.570183,0.829883
1.113376,1.921510,-0.027214,1.289616
0.877427,1.468423,-1.151118,0.768296
1.021321,1.743909,0.374377,0.873151
0.394433,1.157915,-0.944221,1.659676
0.962949,0.104325,0.905434,0.783419
1.874374,1.815058,1.104660,0.934333
0.426574,1.950043,-0.079152,-0.188847
1.784032,1.154937,0.313435,0.103061
1.313758,1.236340,0.441040,0.312455
0.876668,1.979334,1.404745,2.142928
1.058267,1.671992,-1.238771,1.160285
1.871608,0.285075,0.557500,-0.875895
1.298195,0.594543,-0.538323,-0.061635
1.426406,0.694926,1.676516,1.310159
0.181304,1.763095,-0.005905,1.813955
0.929813,0.908475,-0.434555,0.949085
0.198722,1.027183,-0.539151,1.060680
0.127061,1.036243,-1.222349,0.603897
0.334110,0.823623,0.152742,-0.769318
0.554062,0.857035,0.594398,-1.779440
0.110551,0.866651,-0.073358,1.378695
1.037659,0.080735,-0.892032,-0.244935
1.683934,0.920733,0.937073,1.632691
0.498391,0.359129,-1.787292,0.072599
1.451181,0.551509,2.016065,2.260824
0.770453,1.077556,-0.908384,1.027449
1.396198,1.434012,2.611385,0.363762
0.307878,1.976212,-0.346129,1.075997
1.031325,1.180775,-1.613977,2.697649
0.695069,1.438079,-0.091149,1.064316
0.434749,0.076959,-0.354959,0.894339
1.762133,0.932628,-0.759551,0.307772
1.148190,0.298020,-0.698946,0.108465
0.303455,0.853700,-1.561466,2.195193
0.550827,0.281757,1.321611,0.310814
0.034690,0.567190,-0.339082,-1.266709
1.559315,0.165438,1.445321,-0.187730
0.583652,0.465682,-1.118017,1.797718
1.094253,0.889582,1.354636,0.954149
1.938293,1.881039,0.022315,0.633491
0.416824,1.921515,1.995902,1.321180
1.534096,0.178575,0.167048,-1.162549
1.829325,0.031422,-0.101042,0.400012
0.122724,0.995661,0.513268,0.606357
1.916409,1.056793,0.010887,0.463479
0.950693,1.092840,0.332255,1.929271
0.834521,0.226875,-0.929478,-0.197967
0.796148,0.721385,2.019253,-0.708844
0.032259,1.152685,1.336166,2.293158
1.431421,1.186543,1.798266,-1.961319
0.396897,0.607355,1.005735,-1.412144
0.350736,1.236730,-0.089124,0.803906
1.120700,0.168638,0.991952,-2.984436
0.952443,0.195733,1.835098,0.338086
1.994537,1.853324,0.800667,0.450536
0.215363,1.309241,0.017708,0.301104
0.110207,1.324919,1.026372,-0.240584
0.964426,0.739901,0.113796,-1.408555
1.285360,1.252978,1.780116,1.044555
0.836531,0.123782,0.260914,0.015897
1.018311,0.445053,-0.128061,-1.047432
0.508711,0.589441,1.195015,0.191421
0.500529,1.268582,0.953676,0.668607
0.586917,1.232358,0.250476,1.342680
1.666727,0.922916,1.849467,-0.004243
1.893455,0.966999,1.026481,1.886832
0.410815,0.315761,0.295412,0.626219
0.083875,1.888628,2.179707,0.264230
0.050624,0.531408,-1.881534,0.170510
0.845776,0.939555,-0.963232,0.878755
1.835523,0.654961,-0.485378,0.177382
1.497499,0.341424,1.764025,-0.540367
1.878667,0.317529,-0.940939,-0.861766
1.786844,1.827536,-0.343444,2.835323
0.119844,0.280421,-0.812949,2.582908
0.624209,0.425299,-1.302302,1.926899
1.206785,0.807186,0.094198,-0.589899
0.790432,1.553431,0.981063,0.178125
0.765700,1.029591,0.642688,1.041373
1.813830,0.329782,2.533866,-1.329513
0.642593,0.611560,-0.589456,-0.894056
1.244201,1.046119,0.219206,1.010586
1.575079,1.413641,1.800682,1.772088
1.006205,1.679913,2.385474,-0.326687
0.150739,0.602998,0.951995,0.932284
0.728553,0.352527,1.159332,1.248279
1.186070,1.266197,1.333317,0.848815
1.059533,1.659211,1.983403,0.557157
0.728472,1.913419,1.294412,1.459463
1.274106,1.827775,1.763013,2.486168
1.048514,1.601226,2.278835,0.030243
0.538166,0.263434,-0.290669,0.885049
1.670694,0.109029,0.538681,-0.297880
1.240454,1.147658,0.519907,0.328300
1.365301,0.887337,0.066994,0.721673
0.088430,1.796136,-0.035832,3.909759
0.618644,1.116742,0.581706,0.687336
0.710719,1.027890,-0.075582,-0.968797
1.279422,1.354289,-1.721370,0.503811
0.732526,0.771034,0.006195,0.396412
0.708225,0.840072,1.845718,-0.440032
0.239797,1.524189,-0.611470,0.474440
1.548207,1.275922,0.377916,0.144686
0.253133,1.414661,-1.052585,0.842777
0.507608,0.661431,1.287595,2.570092
1.008345,0.116990,-1.608706,1.766762
1.440916,0.621851,0.316307,0.032842
1.573284,1.237614,1.317787,-0.004169
1.159044,0.016040,0.379536,0.430336
0.754910,1.374290,1.724358,2.445417
0.012940,1.729619,0.400635,0.515139
1.247053,0.261733,-0.080461,1.351732
0.148578,0.615814,1.719384,0.902045
0.849343,1.074708,-1.069333,-0.847708
0.208108,0.853459,-0.424705,-1.040597
0.140179,0.974225,1.142584,1.364219
0.372288,1.945008,-0.174320,1.064751
1.364250,1.656573,0.667617,0.279258
0.437148,1.260639,1.489167,0.837727
1.435803,0.581183,1.163848,0.231252
1.585148,1.336552,0.504487,2.519356
1.868827,1.714311,-0.647328,0.880943
0.562399,0.592504,-0.141717,1.634099
0.828647,0.932172,2.163842,-1.997190
1.079013,0.944309,0.592566,-0.148062
0.161103,1.495743,1.093161,-0.326086
0.511958,0.546344,0.179750,0.596311
0.177792,1.623985,-0.157333,1.893396
1.788484,1.922784,1.945186,-1.196927
0.551062,1.770648,-0.633938,0.864583
1.092757,1.134009,0.541744,1.071787
1.746649,1.192461,0.797439,0.776833
0.897225,1.386553,-0.044412,0.976951
1.770991,0.361370,1.500453,0.016914
1.980148,1.056818,0.587293,1.189515
1.210985,1.124292,0.849004,0.130720
1.961868,0.149137,0.570340,-1.737661
1.294989,0.069279,1.687195,-0.594731
1.573183,1.470412,1.149646,1.891026
1.481335,0.360306,0.390303,0.034505
1.206601,1.256113,2.922715,0.760870
0.347226,0.995093,1.167678,1.362198
0.953871,1.270910,0.729523,1.231387
0.217386,1.859846,0.017940,1.645629
1.446744,1.584294,0.297194,1.133123
1.408749,1.902654,-0.596693,2.199362
1.839875,0.970256,0.500445,1.817282
1.189604,0.132779,0.130720,1.953955
0.858497,1.981880,0.251548,-1.963377
0.426320,1.213913,1.692684,0.037264
1.536325,1.109192,0.111295,0.258484
0.158524,1.730505,0.662343,-1.231641
1.141524,1.521025,-0.022446,1.890837
0.264904,1.958378,0.237323,0.415415
1.991164,0.526882,0.239493,-1.218167
1.853862,0.243826,-0.018258,0.217007
0.653742,0.148013,-0.617649,-1.371485
1.327595,0.084253,0.928135,0.031508
0.266736,1.083602,-0.664361,-0.298388
1.922493,1.624682,0.937905,2.127206
0.858280,1.872323,0.106191,2.139299
0.807972,0.990053,0.683911,-0.998410
0.330732,1.778735,0.456689,2.291377
0.399549,0.060046,-1.545056,-1.177024
1.509901,1.667135,0.744837,-1.177699
1.965604,1.326343,-0.540402,-0.172738
0.769573,1.247600,0.420876,1.027277
0.029439,0.542768,-0.740125,-1.830287
0.514084,0.144307,-0.501510,0.451198
0.067887,1.631486,-1.584133,1.433081
0.719589,0.794937,0.338059,-0.292490
0.439880,1.608019,-0.657050,1.287910
0.841688,0.429156,-0.444509,-1.159824
0.998375,0.149847,1.212191,0.239253
0.282866,0.784464,0.394371,0.901848
0.707353,0.925929,1.874741,2.776536
1.597756,1.752868,1.324995,1.199117
1.410956,0.719452,0.270033,-1.965408
1.213087,0.935564,-0.262840,1.640268
1.463760,0.446291,1.279110,1.412467
0.719675,1.788259,-0.266952,-0.027783
0.857919,1.355901,0.942879,0.249516
1.113890,0.044077,0.163202,0.103117
0.954872,1.509567,0.782147,-1.030296
0.282008,0.463109,0.091289,-1.260000
0.168680,1.495336,0.775918,0.116874
1.862466,1.332498,1.670497,0.621103
1.403752,0.228567,1.214710,0.680384
0.565653,0.399824,0.895638,0.359017
0.040427,1.681421,0.980974,1.341410
1.281287,1.234919,0.312736,3.224165
0.014910,0.198760,2.305138,-0.536157
0.891064,0.938011,0.796475,0.458688
0.688539,0.265270,-1.728930,0.073461
0.820384,0.275955,0.427120,0.611447
1.083639,0.488198,2.310303,1.215286
1.873430,0.281003,0.956311,1.325522
