init_x,init_y,next_x,next_y
0.831502,1.422955,-0.796089,-0.789420
1.647164,1.163830,-0.562420,1.538547
0.389080,0.494465,1.018184,0.917738
1.149400,0.513531,-0.408644,1.009831
1.945008,0.035429,0.260592,0.155968
0.044779,0.864028,0.526319,0.294641
1.215759,1.224730,0.851596,1.062083
0.338531,0.658937,0.631686,-1.162775
0.869325,1.100630,-0.162528,-1.339280
1.671985,1.362314,0.992022,0.857227
0.644248,0.490765,-0.352256,2.346406
0.300088,1.731637,0.031137,1.248149
1.709981,1.684414,1.035793,-0.413860
1.158268,0.296272,1.115635,0.996875
1.438889,1.629684,0.264822,-0.316229
0.000647,1.795018,0.120551,2.481456
1.260347,1.052315,1.888036,1.260220
0.454940,0.437462,0.090929,-0.263483
1.310936,0.157094,-1.630401,0.725141
0.997042,1.595850,0.967843,0.601625
1.627514,0.598858,2.558327,1.170917
0.741521,0.057613,0.819706,0.479950
1.901148,1.615701,-0.035586,0.385414
0.195355,0.015645,0.497082,-0.310617
0.610344,0.586275,1.788651,0.113022
1.736971,0.553515,0.013487,-0.279091
0.570854,1.392797,0.355211,0.044060
0.477293,1.826028,-1.013381,-1.085415
0.257335,1.981870,0.835534,0.699151
0.664123,1.902446,1.758518,3.042330
1.129937,1.287695,-1.350276,1.865833
1.417916,0.243314,1.331425,-2.539699
0.625719,1.847489,-0.195655,-0.221053
1.042563,0.459004,-0.034915,-0.975472
1.953289,0.367393,1.323073,-1.710136
1.673139,0.767010,1.292679,-0.260623
1.867856,1.141029,1.546094,-0.208439
0.537473,0.482556,1.168694,-1.119416
1.590193,1.286146,2.173321,-0.821326
1.393520,0.555547,1.284474,0.329578
0.132875,1.408676,-1.278597,0.130594
0.402844,0.891718,0.131155,-0.650429
0.279628,0.092956,1.810250,-0.364071
1.127694,0.251876,1.712648,-1.000144
0.817067,1.037675,1.555193,0.470402
0.635057,0.057391,0.250470,1.765330
0.313586,1.285643,2.026527,-0.313939
1.533499,0.196158,1.201466,-1.010464
1.844993,0.273129,0.101386,0.587310
1.166979,0.208118,0.674101,-0.483591
1.198591,0.702676,1.757036,0.082348
0.351231,1.562669,-0.144139,0.106834
0.040369,0.578070,-0.855576,1.323781
1.259916,1.693052,-0.806752,0.326170
1.132272,0.793539,-0.883458,-1.203433
1.321874,1.268250,1.364869,1.879737
0.010267,1.670838,0.221950,-1.242491
0.066740,1.280754,-0.412559,-1.285574
1.315220,1.221406,-0.025802,-0.210069
0.889406,1.907179,-1.037264,1.437587
0.338078,0.724263,0.395823,-0.785230
1.647103,1.432102,0.610501,2.136428
0.760889,0.052110,0.983235,2.000994
1.559223,1.244989,0.502651,-1.142862
1.579081,0.368938,-0.381491,-0.108813
0.636819,1.818977,2.428746,1.190735
0.873894,0.269302,1.408201,0.809587
0.389407,1.303201,0.243982,0.260890
1.588098,0.231187,-0.147242,-0.477855
0.964999,1.212950,-0.222830,2.604332
1.409989,1.017246,1.384031,-0.553029
0.734847,0.817351,-1.184474,-1.134212
0.657761,0.246449,-0.832634,0.138907
0.677099,0.530618,-0.877353,-0.197534
0.645831,1.309038,0.150569,0.290809
0.025881,0.857207,0.538899,0.722969
0.405676,1.328854,1.122049,-0.142223
1.313154,0.401308,0.768574,-1.531874
1.850570,0.142957,0.492584,0.251779
0.501381,1.528303,1.517058,-1.414654
1.970189,1.500630,-0.223565,-1.428875
0.513911,0.349349,0.677497,-1.034473
1.434898,1.266415,1.559040,1.759188
1.989862,0.541502,1.316986,0.138493
1.477995,1.686065,0.955810,0.124350
1.751395,1.308100,1.138572,2.327161
1.749235,1.795338,1.723829,0.390419
0.224547,1.741698,-0.736002,0.985406
1.158570,1.466234,0.740801,0.063681
1.325660,0.250901,0.518370,0.306074
0.594444,1.247329,0.222393,0.888489
1.788927,1.042415,0.519723,0.250880
1.840178,1.460096,1.689281,0.396390
