init_x,init_y,next_x,next_y
0.236310,0.820830,0.714274,1.563936
1.550864,1.218418,0.975429,0.392679
0.881818,1.382378,-1.734369,-0.279519
0.479289,0.000794,-0.776674,-0.868409
1.564979,1.292892,1.322625,2.619496
0.690463,0.405955,-0.077541,-0.227478
0.550458,0.134122,-0.978782,0.403669
1.889347,1.665278,0.293590,0.511351
1.261443,1.416873,0.201539,0.991015
0.863222,0.824778,0.972039,0.152335
0.588197,1.513774,0.209249,1.636419
1.188026,1.967805,1.642386,-0.878697
0.259163,1.559380,-0.818113,-0.183825
0.163460,1.185176,-1.045592,-0.565283
1.656234,1.613779,1.129477,-1.163894
1.073841,1.559806,0.794541,-1.424970
1.211491,0.294177,2.762086,0.334272
1.617362,1.395174,0.704582,0.888588
1.603842,0.530379,-0.505471,-1.705603
0.679227,0.333699,0.728918,-0.332961
1.992735,1.181313,2.351745,-1.145017
1.872155,1.662673,1.571546,2.143381
0.382199,0.023940,-1.420668,0.651340
1.657655,0.497511,2.448044,-0.595492
1.240838,0.542484,0.700610,-0.303412
1.345829,1.548460,0.622391,-1.485283
1.565434,0.208234,0.803061,-2.330266
1.391376,1.219206,0.076946,1.332680
1.963546,0.578565,0.020003,-0.746800
0.002624,1.893386,1.241666,-1.041610
0.010413,0.768860,-1.142279,1.923727
0.496182,0.861925,-0.194119,-0.947526
0.497496,1.116899,-0.756274,0.609453
1.883206,0.501880,1.412912,0.673634
0.819808,1.081440,0.031536,1.255960
0.576480,0.053316,-0.888620,0.134967
0.704641,0.756076,0.927671,0.802242
0.497362,0.559242,1.017920,0.783293
0.899561,1.186452,-0.291154,-0.207856
0.047538,0.767048,1.081038,0.344071
0.864974,0.829272,1.830900,0.526873
1.266727,1.194227,1.072518,0.094618
1.770186,0.374294,1.423044,0.373023
0.410060,0.589798,1.839255,-0.120873
1.501351,0.229898,0.171429,0.706273
1.403528,0.574193,-0.814310,-0.299897
1.184117,1.157726,1.292816,1.458542
0.309252,0.015005,-0.449164,0.635131
0.471894,0.994113,-2.108172,-0.872983
1.494441,1.803483,0.740698,0.728155
1.996381,0.364220,2.248249,-0.594329
1.389706,1.856356,1.845319,-0.744942
1.035970,0.569101,0.701511,1.255627
0.722962,0.325858,0.692968,0.159922
0.148861,1.643975,-0.749327,0.478201
0.867489,0.555927,0.238940,1.090983
0.861860,1.244846,1.566871,0.187215
0.400764,1.422282,0.820000,1.561612
0.534234,1.869570,1.659924,2.303200
0.796148,0.427382,-0.253102,-1.041869
1.831227,0.919692,3.018274,0.365892
1.866348,1.426017,-0.097220,0.013056
1.268143,1.112479,0.099511,1.208976
1.011396,0.832608,-0.451339,0.562129
1.514835,1.420138,1.329455,-0.242009
1.252718,0.655240,0.204116,0.311662
1.517580,0.015959,0.447190,1.491835
1.007549,1.237369,-0.322133,-0.129638
0.663618,0.262284,-0.688693,0.901594
0.127616,0.520070,0.739729,0.706949
1.014572,0.958917,2.102080,0.503502
0.027551,1.788582,1.612868,1.250417
0.630841,1.774812,-0.326293,1.439910
1.674699,0.014401,0.450210,-0.747363
0.527723,1.328408,1.761654,0.155443
1.678953,0.721532,0.008269,0.266359
1.156124,1.165107,0.949759,1.653886
1.344650,1.437590,1.278483,-1.299943
1.808858,0.801483,1.228814,-0.353325
1.335062,1.954413,1.792301,-0.442401
1.041219,0.708152,0.427020,1.319906
0.522204,1.606326,0.184149,0.312910
1.802898,0.784260,0.331190,-0.496151
1.164828,0.648281,-0.119575,1.662503
0.528689,1.120245,0.564072,-0.242389
1.556700,1.541272,0.651307,1.147228
0.354182,1.194840,1.037175,0.571041
0.649087,1.370767,1.490429,-0.437382
1.573623,1.731608,1.934543,-1.979743
1.941780,0.473759,1.241495,1.148551
0.747561,0.284743,-0.115607,1.156395
0.083645,1.105382,0.630284,0.247718
0.664523,0.360562,1.891450,-0.120974
0.144332,0.523376,-0.578656,0.506187
1.473888,0.842371,0.126134,-0.385693
1.688878,1.303248,-0.162849,1.224932
1.978783,1.713145,1.596669,1.752592
1.896251,1.565245,-0.434416,0.828692
1.606537,0.588377,0.993819,1.443585
0.666577,0.747184,0.758872,-0.283433
1.906080,1.076871,2.276516,1.310382
1.418019,0.830091,0.130433,0.608186
0.014085,0.272616,-1.310794,-0.711473
0.805109,0.733616,-1.120674,0.818787
0.882385,1.624879,1.994387,0.724077
0.697216,0.440141,-1.134249,-1.068978
1.405317,0.063072,-0.127815,0.342566
0.765189,0.242560,0.042205,2.140808
0.332692,0.738040,-0.055081,0.974226
1.542552,1.441662,0.506943,0.419269
0.546416,0.408427,-1.420599,0.659886
0.895799,0.021846,1.103529,-1.302835
0.380680,0.697722,-1.679366,0.125488
1.936451,0.062414,2.036300,-0.397450
0.982585,0.300011,-0.960925,0.270778
1.517163,0.074425,2.749104,-1.356433
1.504624,1.362087,1.534739,0.072612
