init_x,init_y,next_x,next_y
0.361690,1.991262,0.881469,0.416258
0.463326,0.418047,0.602742,-0.165491
0.210611,0.078177,2.578594,-0.267761
0.953164,1.889922,0.771637,-1.275727
1.076012,0.157989,0.867949,0.856753
0.132933,0.860552,-2.265639,-0.843788
0.637478,1.719014,1.287324,2.908233
1.014388,0.428283,2.373879,-0.279299
0.022220,1.685411,0.045299,2.706842
1.908678,1.972432,0.894159,0.239011
0.574244,0.385043,-0.044551,-0.151452
1.035675,1.128820,-2.335078,1.358703
0.708936,1.333612,1.309755,0.626762
0.548086,1.458498,0.420662,0.045857
0.355015,1.917835,-0.879894,1.718824
1.324831,1.321977,-0.364638,-0.395383
0.746815,1.133532,0.015810,0.552944
1.307220,0.644566,1.247429,0.901395
1.580576,0.066787,-0.822150,1.178621
0.058965,0.501165,0.458391,1.040327
1.890899,1.731495,-0.686553,-0.059552
0.039445,0.321203,-1.172376,-0.532307
1.412377,1.305093,0.922494,0.818837
1.770009,1.398620,-0.222095,-0.195977
0.461072,1.154301,2.094664,1.081291
0.012622,1.314063,-2.403825,0.051777
1.444280,1.882566,1.884185,0.534360
1.305673,0.459828,3.079785,1.232031
0.289249,1.683872,-0.238441,1.327191
1.388535,1.604120,1.261982,0.050884
0.899983,1.027410,0.996736,-0.514109
0.180746,0.440186,0.249657,-1.440548
0.134635,1.156628,0.559150,-0.031293
1.519275,1.265139,0.919376,0.315325
1.784922,0.410090,1.688585,-0.193653
1.101069,0.119219,-1.800946,0.147721
1.559464,1.382772,0.444610,1.139908
0.855858,0.545893,0.023788,-0.539751
0.057439,1.065816,1.129897,-0.316216
0.740507,0.255251,0.622707,-1.462005
0.519533,1.872287,1.125730,1.943650
0.930466,0.379608,-1.208260,1.958149
0.480669,0.614839,-1.057737,-0.586223
1.331067,1.196246,-0.447727,0.862513
0.871978,0.468108,-0.394138,0.207073
1.376831,0.977858,0.023425,0.460250
0.306200,0.712313,-0.352000,1.483456
0.847487,0.087747,-1.105139,-0.062019
1.413349,0.219335,1.819403,-1.126961
0.033428,1.053944,-0.161336,-0.709913
0.255411,0.376878,-1.010323,0.367447
0.043294,0.426150,-0.775527,-0.095806
1.982583,1.954408,1.796682,1.974138
0.766608,1.326721,1.212574,0.064409
0.166763,0.655129,0.714459,0.290594
0.434913,1.778770,-1.473803,0.455576
1.087467,0.664355,0.156416,0.220978
0.852626,0.435521,0.419450,0.191789
0.105329,1.694910,-1.814458,-1.245538
0.193888,1.634977,0.027025,1.814044
0.103240,0.721752,-0.720435,-0.948085
0.181582,1.788095,-0.968770,0.628076
0.384978,1.929683,0.307114,-0.247005
1.824456,0.517462,0.948117,0.063104
1.516263,1.164532,-0.486950,1.051404
0.961969,0.277996,-1.102143,0.085815
1.115764,1.442336,0.194040,0.431794
1.473270,0.342927,0.463729,0.006355
0.117961,1.061200,0.234131,1.376991
0.862642,1.866359,-1.126715,-1.219483
1.030210,0.583037,-1.020062,2.444007
0.727701,0.385230,0.188126,-0.388155
0.606318,0.233673,1.833777,1.924367
1.753103,1.206427,2.325630,-1.236909
1.059385,0.211132,-1.055831,-0.459012
0.459001,0.682625,1.013220,-1.105558
1.009070,0.110102,0.742606,1.006552
1.834751,1.950677,-0.094317,0.097112
1.444291,0.126842,-0.125947,-1.567963
1.945343,0.687529,0.932018,0.545823
1.406014,1.669543,-0.430076,-0.082121
1.386837,1.522370,-0.480517,0.639445
0.267936,0.144028,0.020926,1.069637
1.928040,0.140488,-0.140278,0.946509
0.800761,1.938626,2.409081,0.865152
0.859843,0.487285,2.446326,1.596904
0.983283,1.285637,0.346138,1.622670
1.141149,1.927832,0.647818,-0.393591
1.118557,0.667320,0.668044,0.178929
0.946347,1.868727,1.207080,1.309263
1.791116,0.218911,0.072944,-0.905180
0.061623,0.102364,-0.192612,-0.335270
1.745600,1.224060,0.703288,0.898481
0.835373,1.770978,-0.182728,3.020516
0.308216,1.278747,0.156202,1.799094
0.543688,1.184033,1.269744,-0.107114
1.601307,1.679969,0.751346,0.435316
1.820029,0.495694,-1.258873,1.437575
1.311581,0.217968,1.689616,-1.073468
0.013116,1.129798,-0.048886,0.268145
1.513242,1.230052,0.377996,1.548154
0.525064,0.851585,-0.735880,1.492212
0.838866,0.181932,1.162669,0.869372
0.945231,0.223001,-1.087178,-0.069502
1.498721,1.745629,1.004844,0.161546
0.854861,0.005330,2.664300,-0.661217
1.432197,1.541692,-1.340302,-0.378193
0.479277,0.521055,0.776926,2.502403
0.419197,1.176533,0.469030,0.679959
0.131449,1.804285,0.255945,-0.393227
0.199732,0.203252,0.090516,-1.206686
1.575476,1.283261,-0.457205,0.356471
1.496922,0.747295,2.344404,1.287200
0.076208,1.030691,-0.498432,-0.137995
0.695880,0.055965,1.574095,0.330657
0.741598,0.611619,-0.367824,-0.587549
0.763658,0.064255,1.524724,0.287458
0.401590,0.642664,0.427744,0.961143
0.166698,0.504954,0.263139,0.976491
0.447618,0.330940,-1.061090,-0.529038
1.945713,0.816818,1.193240,2.588944
1.637523,1.863899,1.499830,0.355856
1.226472,0.716336,1.068922,1.663792
1.095284,1.185279,2.347116,0.009471
1.146455,0.899058,0.451378,1.493651
1.604454,0.620883,0.154441,-0.854383
1.348084,1.638841,-0.307388,-0.159943
1.321181,1.641305,-0.659250,0.962268
0.217851,1.370990,1.213466,0.243324
1.167818,0.481188,0.740179,1.477456
1.729058,1.334942,1.078344,2.467126
1.098284,0.663859,0.757647,0.003126
